id,last_name,first_name,middle_name,agency,division,position
498, o'rourke, terry, byron, court of appeal, district 4 div. 1, associate justice
499, oros, delbert, william, sacramento county, superior court, superior court judge
500, orndoff, george, l, superior court of california, county of kings, judge
501, orfield, adrienne, a, san diego superior court, n/a, judge of the superior court
502, orcutt, charlotte, jean, san joequin county superior court, , judge
503, ongkeko, rafael(ralph), a, superior court, county of los angeles, judge
504, ong, tomson, t., superior court of california, county of los angeles, judge
505, oneill, vincent, james, ventura superior court, county of ventura, judge
506, o'neill, robert, francis, san diego superior court, n/a, judge of the superior court
507, o'malley, mary, ann, contra costa county superior court, superior court judge, judge
508, olson, lynn, d, los angels superior court, superior court, superior court judge
509, olmedo, charlaine, frieda, superior court of california los angeles county superior court judge, , 
510, olivera, elizabeth, ufkes, (colusa county) superior court judge, , 
511, oliver, robert, harocn, fresno county superior court office #12, , superior court judge
512, o'leary, kathleen, elizabeth, court of appeal, fourth appellate districtdivision three, associate justice
513, oldendorf, margaret, lynn, los angeles county superior court, , judge
514, oki, dan, thomas, los angeles county superior court, , 
515, okamoto, vincent, hichiro, los angeles superior court, department 4, judge
516, ohta, sam, , los angeles superior court superior court judge, , 
517, oglesby, john, d, superior court of california, kern county, judge
518, ocden steven, dale, , los angeles county superior court, , judge
519, o'gara, michael, john, los angeles superior court judge, , 
520, o'flaherty, joseph, wilde, placeer county superior court, , superior court judge
521, o'donnell, joanne, b., los angeles superior court judge, , 
522, o'connor, kathleen, rose, yuba county superior court, department 5, yuba county superior court judge
523, o'conneli, beverly, reid, los angeles superior court, , judge
524, ochoa, gilbert, glen, superior court, county of san bernardino, judge
525, ochoa, frank, joseph, santa barbara superior court, anacapa division, judge
526, ocampo, ricardo, roces, agency name superior court of california, los angeles county, judge of the superior court
527, oberholtzer, david, b., san diego superior court, n/a, judge of the superior court
528, oakley, james, e, superior court of the state of california, county of madera, superior court judge
529, nystrom-geist, kimberly, jeanne, fresno county superior court, , judge
530, nunley, troy, lynne, sacramento county superior court, , superior court judge
531, nugent, thomas, peter, san diego superior court, n/a, judge of the superior court
532, nudell, karen, joy, la superior court judge, n.w. district van nuys, west
533, novak, lisa, a, superior court of california san mayeo county, , superior court judge
534, northway, diane, , santa clara superior court judge, , 
535, northup, ronald, andrew, san joaquin superior court, , judge
536, nonthridoe, yolanda, neill, alameda county judge, , 
537, nishimoto, cary, h, superior court judge, , 
538, nishigaya daniel, daniel toru, , santa clara county superior court, , judge
539, nieto, patricia, , los angeles superior court, east district, judge
540, nicholson, george, w, court of appeal, third appellate district, associate justice
541, nichols, colleen, , placer county superior court judge, , 
542, nguyen, john nho, trong, superior court of california, county of orange, judge
543, newman, nancy, l., superior court- los angeles, , judge of the superior court
544, nevitt, william, renwickjr, san diego superior court, n/a, judge of the superior court
545, nelson sr., mark, grant, superior courts- state of california- los angeles, dept. 2 whittier, judge of the superior court
546, nelson, maren, e., superior court of the state of california, los angeles county, judge
547, nelson, earl, bradley, solano county superior court, , judge
548, nelson, david, eugene, mendocino county superior court, , judge
549, needham, henry, e., court of appeal first district, , associate justice
550, navarro, rene, , santa clara county superior court judge, , 
551, nash, michael, , superior court los angeles judge, , 
552, nash, lloyd, m., los angeles county superior court, , judge
553, nares, gilbert, , court of appeal, fourth district division one, associate justice
554, naranjo, richard, edward, los angeles county superior court, north district, judge
555, nakata, eric, m, superior court of california, county of san bernardino victorville district, superior court judge
556, nakamura, kirk, haruo, superior court orange co. superior court judge, , 
557, nakshara, vernon, k., alameda county superior court judge, , 
558, nadler, jerome, steven, superior court, santa clara county, judge
559, nadler, gary, , sonoma county superior court superior court judge, , 
560, murray (jr.), william, j., court of appeal, third appellate district, associate justice
561, murphy, patricia, m., superior court of california, county of ventura, judge
562, murphy, mary ann, , los angeles superior court, , judge of the superior court
563, murphy, kevin, r., , alameda county superior court, superior court judge
564, murphy, daniel, stephen, superior court, , judge
565, munter, john, edgar, superior court (san francisco)   judge, , 
566, munoz, gregory, (nmn), superior court orange county   judge, , 
567, mullen, gary, shawn, sacramento   superior court, , judge
568, moss, robert, james, superior court orange county, , judge
569, mosk 12 feb 23, richard, mitchell, court of appeal, second appellate district division 5, associate justice
570, moses, jared, daniel, los angeles superior court   judge, , 
571, mosbarger, tamara, lynn, butte county superior court, , judge
572, moruza, christine, k., state of california county of alameda superior court, , superior court judge
573, morton, miriam, ivy, superior court of california, barstow district, superior court judge
574, morse, heather, d, superior court of california county of santa cruz   judge, juvenile delinquency, 
575, morris, carl, w., alameda county superior court   judge, , 
576, moring, dwayne, kenyatta, san diego superior court, n/a, judge of the superior court
577, morgan, brett, huston, san joaquin county superior court, , judge
578, moreton, edward, b., los angeles superior court, county of los angeles, judge
579, moranda, david, , state of california county of merced, merced superior court, judge
580, moorman 12 feb 29, ann, carole, superior court state of california, county of mendocino, judicial officer
581, moore, eileen, c., court of appeal, district four division three, associate justice
582, moore, dwight, w, superior court of california, county of san bernardino, superior court judge
583, mooney, mark, v, los angeles superior court   judge, , 
584, monterosso, john, michael, superior court of california county of riverside, southwest justice center, judge
585, montejano, kathryn, , tulare county superior court, visalia division, judge
586, monroy, richard, raymond, san diego superior court, n/a, judge of the superior court
587, monroe, william, m, superior court orange county, , 
588, monahan, william, joseph, superior court of california county of santa clara, , judge
589, moloney, stephen, m., superior court   judge, los angeles county, 
590, molloy, john, devlon, superior court of california - county of reverside, , judge
591, mohr, anthony, j, superior court of california, county of los angeles, judge
592, mock, stephen, louis, yolo superior court, department three, superior court judge
593, moberly, jamoa, athena, superior court - county of orange, , judge
594, mize, james, m., sacramento superior court, sate of california, judge
595, mitchell, donald, sebastian, superior court of california judge county of san francisco, , 
596, mitchell, daviann, lilee, los angeles county superior court, criminal - north, judge
597, mitchell, craig, jordan, los angeles superior court judge, dept. 133 central, central district
598, mirich, peter, j, superior court of state of california, los angeles county, judge
599, miram, george, antony, superior court of california county of san mateo, , judge
600, mira lawrence, lawrence, joseph, los angeles county superior court judge, , 
601, minto, robert, bruce, los angeles superior court, east district pomona south, judge of the superior court
602, minning, david, l., superior court, los angeles, judge
603, mineta, elisabeth, keiko, superior court of california, county of monterey, judge
604, milton, david, sherman, los angeles superior court, , judge
605, mills, richard, e., san diego superior court, n/a, judge of the superior court
606, mills, cheryl, rae, contra costa county superior court, , judge
607, mills, bruce, c., superior court of california, , 
608, millington, scott, t., los angeles superior court, department 7, judge
609, miller sloan, robin, , los angeles superior court, county of los angeles, judge
610, miller, rita, j., los angeles superior court judge, , 
611, miller, maria, j., superior court of california county of san francisco, , superior court judge
612, miller, linda, l., superior court orange county   judge, , 
613, miller, franz, e., superior court - orange county, , superior court judge
614, miller, douglas, paul, court of appeal, fourth district division two, associate justice
615, millard mark, , s.rula dalief, superior court orange county judge of superior court, , 
616, miles, marilyn, b., humboldt county superior court, , judge
617, mihara, nathan, dean, california court of appeal, 6th district, associate justice
618, meza, amalia, l., san diego superior court, n/a, judge of the superior court
619, meyers, patrick, , superior court of the state of california for the county of los angeles, southeast district of the los angeles county superior court, judge of the superior court
620, meyer, judith, levey, superior court los angeles county   judge, , 
621, meyer, john, s, san diego superior court, n/a, judge of the superior court
622, mewhinney, douglas, vernie, calaveras superior court, , superior court judge
623, merritt, hilleri, g., los angeles superior court, , judge
624, menninger, kimberly, kay, superior court of orange county, , superior court judge
625, meloch, sally, lynn, los angeles superior court judge, , 
626, melikian, kenneth, john, el dorado county superior court, , superior court judge
627, meisinger, louis, mark, california superior court judge, los angeles, 
628, meigs, john, vernon, los angeles superior court, department 2, judge
629, meiers, barbara, ann, superior court county of los angeles, mosk department 12, judge of the superior court
630, meeka, peter, joseph, los angeles county superior court, east district, judge
631, meegan, cheryl, chun, sacramento superior court, , judge
632, medvigy gary alan, alan, , superior court of california, sonoma county, superior court judge
633, medel, kenneth, j, san diego superior court, n/a, judge of the superior court
634, mcnerney, daniel barrett, arrett, superior court orange county judge, , 
635, mcnatt, bobby, , superior court, san joaquin county, judge
636, mcmanus, julie, ann, nevada county superior court, , superior court judge
637, mclean, sandra, lynn, superior court of california county of butte judge, , 
638, mclaughlin, dennis, j., alameda county superior court, , judge
639, mclaughlin-bennett, denise marie, , los angeles superior court - north district, , judge
640, mcknew jr, thomas, iva, california superior court county of los angeles, southeast district, superior court judge
641, mckinster, art, wilkie, court of appeal, fourth district division two, associate justice
642, mckenney, kevin, e, santa clara county superior court judge, , 
643, mckay, patti, jo, los angeles superior court judge, , 
644, mckay mccoy, michele, lorraine, state of california superior court of santa clara county, , judge
645, mcintyre, james, a, ca court of appeal, fourth district division one, associate justice
646, mcguire, rosemary, t., superior court of california county of fresno, , superior court judge
647, mcguiness, william, r., court of appeal presiding justice, first appellate district, division three
648, mcguiness robert, , denis, alameda county judge, , 
649, mcgrath, william, j, san diego superior court, n/a, judge of the superior court
650, mcgowen, beth, , superior court, , judge
651, mcgee, kevin, j., ventura superior court, , judge
652, mcfetridge, james, edward, superior court sacramento county, , judge
653, mcfadden, linda, ann, stanislaus county superior court, , judge
654, mcelhany, robert, poul, superior court of the state of california, placer county, judge
655, meeachen, david, thoma, superior court orange county, , 
656, mcdonald, alex, c., court of appeal associate justice, district four division one, associate justice
657, mccracken, joanne, , superior court of california county of santa clara, , judge
658, mccoy, charles, w, los angeles superior court, judicial branch, judge
659, mccormick, kevin, james, superior court of california country of sacramento, , judge
660, mcconnell, judith, d., court of appeal, fourth appellate district division one, presiding justice
661, mccarville, brian, s., superior court of california country of san bernardio, civil division, superior court judge
662, mccartin, michael, sterliug, superior court - orange county, , superior court judge
663, mccann, bridgid, m, superior court of the sate of of california, county of san bernardinosan bernardino, superior court judge
664, mccabe, brian, , state of california, merced superior court, judge
665, mcbrien, peter, j, superior court of california, sacramento, judge
666, mcbride, james, joseph, superior court, san francisco, judge
667, mcadam, william, hays, san diego superior court, n/a, judge of the superior court
668, mcadam, samuel, thow, yulo superior court, , judge
669, mazurek, john, david, superior court of california, county of san bernardino, superior court judge
670, mayhew, william, a, stanislaus superior court, , judge
671, mayfield, cindee, f, mendocino county superior court, , judge
672, mavis, darrell, , the superior court - los angeles county, , judge
673, mautino, philip, k, superior court county of los angeles, , judge
674, mauro, louis, robert, court of appeal, third appellate district, associate justice
675, matz, laura, anne, superior court of the state of california, county of los angeles, judge
676, mattice, michael, charles, superior court of california in and for the county of solano, department 10, judge of the superior court
677, mathias, david, charles, tulare county superior court, , judge
678, matcham, susan, j, monterey county superior court, , 
679, masunaga, laura, jean, siskiyou county superior court, , superior court judge
680, massullo, anne-christine, theresa, san francisco superior court, , judge
681, mason, tomar, barbara, superior court of ca judge, , 
682, mason, david, allen, modoc county superior court, , superior court judge
683, martinez, victor, david, superior court of california, county of los angeles, judge of the superior court
684, martinez, robert, m., los angeles county superior court, , judge
685, martinez, alexander, r., superior court san bernardino county, chino, judge
686, martin, richard, charles, superior court state of california, department 2, judge
687, martin, lia, raeshawn, los angeles county superior court, central district, judge
688, martin, john, n., superior court of california, county of san bernardino/central district, superior court judge
689, martin, john, edward, calanvas county superior court, , judge
690, marshall, christopher, b., superior court of california county of san bernardino, juvenile division / san bernardino district, superior court judge
691, marrs, bruce frederick, frederick, los angeles superior count, , judge
692, marmaro, marc, , los angeles county superior court, , judge
693, marlow, monica, marjane, superior court, shasta county, superior court judge
694, marlette, george, patrick, sacramento superior court, , 
695, marks, linda, s deputy, superior court of california, orange county, superior court judge
696, markman, joy, bf wiesenfeld, superior court orange county, , superior court judge
697, marigonda, paul, mario, superior court of california county of santa cruz, , superior court judge
698, margulies, sandra, lynn, court of appeal, first district division 1, associate justice
699, margnes, charles, bf, superior court of california, county of orange central justice center, superior court judge
700, marcus, stephen, austin, superior court judge   los angeles superior court judge, , 
701, marcoida, guadalupe, guadalupe, sonoma county superior court, superior court, judge of the superior court
702, marchiano, james, john, california court of appeal first district, division one presiding justice, presiding justice
703, mapes, steven, alan, superior court of california, san bernardino county, judge
704, manssourian, andre, bk, superior court of california, , superior court judge
705, manoukian socrater pe, peter, , superior court county of santa clara, , 
706, manley, stephen, v, superior court, , judge
707, manella, nora, m., court of appeal, second appellate district, justice
708, mandio, mark, anthony, superior court of california county of riverside, southwest justice center, judge
709, mandel, elaine, , los angeles superior court, , judge
710, malone, steven, curtis, san bernardino superior court, victorville division, judge
711, mallett, richard, m, san joaquin county superior court, , superior court judge
712, mallano, robert, michael, court of appeal, second appellate district, justice
713, mallach, barbara, j., superior court of california county of san mateo, , judge
714, maldonado, albert, h., superior court of monterey county state of california, , 
715, majors-lewis, sharon, bernadette, san diego superior court, n/a, judge of the superior court
716, maino, runston, g., san diego superior court, n/a, judge of the superior court
717, maier, clare, marie, superior court contra costa county, , superior court judge
718, mahoney, patrick, john, san francisco superior court, judge, 
719, maguire, frederick, , san diego superior court, n/a, judge of the superior court
720, maguire, daniel, patrick, superior court, county of yolo, judge
721, magit, mark, supermidcourt of ca county of mono g, mono county superior court, , judge
722, mader, katherine, , superior court state of california - judge, , 
723, maddock, thomas, michael, superior court of the state of california in and for the county of contra costa judge, , 
724, madden, patrick, t., superior court state of california, south district, judge
725, maclaren, ronni, banks, alameda county superior court, , judge
726, mackey, malcolm, h., los angeles superior court, stanley mosk counthouse (central), judge
727, mackenzie, lyle, michael, superior court - bellflower courthouse, southeast, judge
728, machida, kenji, , los angeles superior court, , judge
729, maclaughlin, william, a., los angeles superior court judge, , 
730, maas iii, earl, h., san diego superior court, n/a, judge
731, lyons, dalila, c., los angeles county superior court   judge, , 
732, lund, roger, lynn, superior court of california, county of ventura, judge
733, luna, ana maria, mac, los angeles superior court (southest district) judge, , 
734, lueras, sharon, arne, superior court of california county of sacramento, , judge
735, luebs, roger, a, superior court of california, county of riverside, judge
736, ludvigsen, cynthia, ann, superior court, san bernardino county, judge
737, lucky, lewis, j, superior court of california, riverside, judge
738, lucero, katherine, l., superior court of california, county of santa clara, 
739, lucena, kristen, a., butte county superior court, , judge
740, lucas, patricia, mary, superior court, santa clara, judge
741, lucaccini, anthony, p, san joaquin county superior court superior court judge, , 
742, lua, john, waipa, superior court of california, county of kern, judge
743, lu, elaine, , superior court of california county of los angeles judge, , 
744, , , , los angeles county superior court   judge, , 
745, lott, willie jr., , superior court alameda county judge, alameda county, 
746, lord, j, d., los angeles superior court judge, south district, 
747, lopez-giss, susan, l, judge los angeles superior court, , 
748, lopez, gilbert, m., california superior court, los angeles superior, superior court judge
749, lopez, daniel, s, los angeles county superior court, , judge
750, longstreth, robert, christy, san diego superior court, n/a, judge of the superior court
751, lonergan, john, james, los angeles county superior court judge, , 
752, london, brett, george, superior court of california, orange county, superior court judge
753, loftus jr, richard, james, superior court santa clara county, , judge
754, lofthus, linda, lou, superior court, san joaquin county, judge
755, livermore, richard, clifton, superior court, county of san mateo, judge
756, liu, goodwin, h., california supreme court, , associate justice
757, little, donna, alyson, superior court of california, , 
758, lippitt, elizabeth, ann, superior court of california, northwest district, superior court judge
759, link, frederick, l., san diego superior court, n/a, judge of the superior court
760, linfield, michael, paul, los angeles superior court, , judge
761, lindley, wendy, suzanne, superior court orange county, , 
762, liebmann, william, q, ventura county superior court, , judge
763, licalsi, ernest, joseph, madera superior court, , superior court judge
764, libutti, 12 mar - 7 am 8:54 2012 feb - 6michael, r., superior court, county of san bernardino/rancho cucamonga district, judge
765, lewis thomas, trent, , los angeles superior court judge, , 
766, lewis, michael, bruce, superior court kern county state of california, , judge
767, lewis, margo, lynn, san diego superior court, n/a, judge of the superior court
768, lewis, jon, lantz, san diego superior court, n/a, judge of the superior court
769, lewis, kathleen, marie, san diego superior court, n/a, judge of the superior court
770, lewis, joan, m., san diego superior court, n/a, judge of the superior court
771, lewis, gregory, h., superior court of californiacounty of orange, , 
772, lew, arthur, m., superior court judge, county of los angeles, 
773, levy, herbert, lrwin, fifth district court of appeal associate justice, , 
774, levine, michele, donna, superior court of california - county of riverside, , superior court judge
775, levine, jan, g., los angeles superior court, central district, judge
776, leversen, michael, a., superior court, orange county, superior court judge
777, levanas, michael, innes, los angeles county superior court, , judge
778, leonard, jean, pfciffer, riverside superior court, na, judge
779, lench, lisa, bonnie, los angeles superior court, , judge
780, leininger, l., bf, superior court orange county superior court judge, , 
781, lehman, william, donald, imperial county superior court, , judge
782, lefkowitz, linda, kay, los angeles superior court judge, santa monica courthouse, 
783, lee, richard, y., superior court orange county, , superior court judge
784, lee, jo-lynne, quong, superior court - alameda county judge, , 
785, lee, elizabeth, k, superior court of california county of san mateo, superior of california county of san mateo, judge
786, lee, edward, fredrick, superior court of california county of santa clara, , judge
787, lee, cynthia, ming-mei, superior court of san francisco judge, , 
788, lee, caryl, a., superior court orange county, , superior court judge
789, lawson ii, john, clifford, los angeles superior court judge, , 
790, lavorato, sam, , moneterey county superior court superior court judge, , 
791, lavin, luis, a, superior court of california judge, los angeles county, 
792, lasater, melinda, j., san diego superior court, n/a, judge of the superior court
793, larsh, erick, lee, change county superior court state of california, , superior court judge
794, langford, donald, raymond, siskiyou county superior court, , judge
795, lane, barbara, a., ventura county superior court, , judge
796, landin, dennis, james, superior court, los angeles county, judge
797, landau, leslie, g, contra costa superior court, , superior court judge
798, lampe, david, r., superior court of california, county of kern, judge
799, lambden, james, robert, first district court of appeal, division two, associate justice
800, lamb, brian, joseph, california superior court  judge, county of inyo, 
801, lam, newton, , sf superior court judge, department 22, hall of justice
802, lagotta, kimberlee, anne, san diego superior court, n/a, judge of the superior court
803, lager, marvin, m., superior court state of california, county of los angeles, judge
804, laforteza, bernie, clemente, superior court of california, , judge
805, laforge, robert, martin, sonoma county superior court, , 
806, laettner, john, thomas, superior court of california, contra costa county, superior court judge
807, laesecke, laura, , los angeles superior court, , judge
808, laporte, james, t., superior court of california, county of kings, judge
809, labarbeta, batty, thomas, sco superior ct, , judge of siosct
810, kwong, oweal, l, la superior court, , judge
811, kwan, ruth, ann, los angeles superior court juedge, los angeles superior court, 
812, kussman, russell, steven, los angeles superior court, van nuys east, judge
813, kurtz, robert, k, superior court of california, alameda county, judge
814, kuns, kay, susanne, santa barbara superior court, santa maria branch, superior court judge
815, kumli, kurt, edward, superior court of california, santa clara county, judge
816, kumar, sanjay, t, los angeles superior court judge, , 
817, kuhnle, thomas, eilif, the superior court of the state of california, county of santa clara, judge
818, kuhl, carolyn, barbara, superior court of the state of california for the county of los angeles, , superior court judge
819, krueger, christopher, edward, superior court of california sacramento county, , superior court judge
820, kronlund barbara, aysha, aysha, superior court san joaquin, stockton branch, superior court judge
821, kronberger, william, h., san diego superior court, , judge of the superior court
822, kriegler, sandy, r, court of appeal, second appellate district, justice
823, kreber, ronald, patrick, , superiort court county orange, superior court judge
824, krauel roger weller, , , san diego superior court, n/a, judge of the superior court
825, krashna, david, matthew, alameda county superior court, , judge
826, krant, elisabeth, b., tulare county superior court, porterville division, judge
827, kramer, richard, alan, superior court judge, , 
828, korn, renee, ferton, los angeles superior court judge, , 
829, koosed, charles, jacob, superior court of california, county of riverside, judge
830, kolpacoff, thomas, d., superior court judge, alpine county, 
831, kolin, william, , contra costa county superior court, , 
832, kolakowski, victoria, s, superior court of california county of alameda, , superior court judge
833, kohn, wendy, l, los angeles superior court, , judge
834, kline, john, anthony, court of appeal first appellate district, division two, presiding justice
835, kleinberg, james, paul, superior court, county of santa clara, judge
836, klein, ross, m, los angeles superior court, south district, judge
837, klein, joan, dempsey, court of appeal, second appellate district, justice
838, klien, clifford, l, superior court los angeles judge, , 
839, kleifield, steven, jay, superior court of the state of california in and for the county of los angeles, , judge
840, kitching, patti, s., court of appeal, second appellate district, justice
841, kirwan, peter, h, santa llara superior court, superior court, judicial officer
842, kirvin, evan, patrick, superior court of california, county of san diego, judge
843, kirschner richard, h., , los angeles superior court  judge, , 
844, kirkman, k., michael, san diego superior court, n/a, judge of the superior court
845, kirihara, john, , merced superior court, , superior court judge
846, kinnicutt, harry, shultz, superior court solano county, department three, judge
847, kingsley, kay, , monterey county superior court, , superior court judge
848, kingsbury, suzanne, n., el dorado superior court, department 3, presiding judge
849, king, richard, milton, superior court/state of california, county of orange, judge of the superior court
850, king, jeffrey, , court of appeal, fourth district division two, justice
851, kim, mark, christopher, los angeles superior court, , 
852, kiesselbach, charlene, , superior court county of san francisco judge, , 
853, khan, abraham, , l.a.superior court, , judge
854, kersey, cheryl, carolyn, superior court state of california county of san bernardino, rancho cucamonga district, judge
855, kerlin, karla, diane, superior court, los angeles, judge
856, keough, dennis, james, superior court orange county, , superior court judge
857, keosian, greg, , los angeles superior court, los angeles county, judge
858, kenny, michael, p, sacramento superior court, , judge
859, kennelly, john, philip, superior court of california, county of sierra, superior court judge
860, kennedy, kathleen, a., los angeles superior court judge, , 
861, konnedy john wiccian, , , contra costa county superior court, department 8, judge
862, kennard, joyce, -blank-, california superior court assoc. justice, , 
863, kendig, holly, e., los angeles superior court, , judge
864, kemalyan, richard, s., los angeles superior court judge, n/a, 
865, kelly, patricia, lynn, superior court judge, santa barbara county, 
866, kelly, michael, m, orange county superior court, , judge
867, kelly, kathleen, anne, superior court of california county of san francisco, , judge
868, kellogg, michael, karl, judege superior court state of california, northwest judicial, district
869, kelley jr, james, a., superior court of california, county of fresno, judge
870, keller, richard, overton, superior court of california, alameda county, judge
871, kellegrew, kent, mcmillin, superior court of the state of california, county of ventura, 
872, kelety, julia, , san diego superior court, n/a, judge of the superior court
873, keithley, clare, , judge, , 
874, kearney, robert, james, san diego superior court, n/a, judge of the superior court
875, kearney, frances, anne, placer county sup. court judge, placer county, 
876, kazanjian, debra, jean, fresno county superior court, , superior court judge
877, kays, scott, l, solano superior court, department 16, judge
878, kaufman, ira, robert, plumes superior court #2, , judge
879, katz, steven, michael, superior court of california, county of kern, judge
880, katz, aaron, h., san diego superior court, n/a, judge of the superior court
881, karnow, curtis, e.a., superior court san francisco, , judge
882, karlan, craig, d., superior court state of california county of los angeles, , judge
883, karesh, jonathan, e., superior court of california county of san mateo, , judge
884, kapetan, kristi, culver, superior court of california county of fresno, , superior court judge
885, kapetan, jon, nick, superior court of california, county of fresno, judge
886, kaneshiro, gale, eiko, san diego superior court, n/a, judge of the superior court
887, kane, stephen, j, court of appeal fifth appellate district, , associate justice
888, kams, timothy, alan, superior court of california county of fresno, , 
889, kam, timmy, p., superior court state of california county of solando  superior court judge, , judge
890, kalra, upinder, singh, los angeles county superior court   judge of the superior court, , 
891, kalemkarian, david, c., superior court of california, county of fresno, judge
892, kalashian, joseph, , tulare county superior court, visalia division, judge
893, kahn, harold, , san francisco superior court, , judge
894, kaddo, james, a., l.a. superior court, l.a.county, judge
895, jurado, ray, gerald, los angeles superior court judge, , 
896, juhas, mark, albert, los angeles superior court judge, , 
897, jones, jeffrey, bruce, superior court imperial county, , judge
898, jones, gregory, wallace, orange county superior court, , judge
899, jones, d, lynn, madera superior court, , judge
900, jones barbara, joy r, , court of appeal, first district, presiding justice
901, jones, ann, i., superior court, los angeles county, judge
902, jones, alesia, francine, solano county superior court, , judge
903, johnston, gerald, gordon, superior court orange county, , 
904, johnson, william, dean, san joaquin superior court judge, , 
905, johnson, michael, , los angeles superior court, , judge
906, johnson, mark, eugene, superior court of california, county of riverside, judge
907, johnson, margaret, s, santa clara co. superior ct. judge, , 
908, johnson, jeffrey, wayne, court of appeal, second appellate district division one, justice
909, johnson, jane, l., los angeles superior court judge, , 
910, johnson, hurl, william, state of california, superior court, judge
911, johnson, gary, michael, tulare county superior court, tulare division-department 2, judge
912, johnson, frank, joseph, los angeles superior court, superior court judge, 
913, johnson, elaine, m., superior court of california county of riverside, southwest justice center/criminal division, judge
914, johnson, dereil, guy, superior court judge, , 
915, johnson, barbara, r, los angeles county superior court, , judge
916, jessop, gerald, clifford, san diego superior court, n/a, judge of the superior court
917, jessner, samantha, phillips, los angeles superior court superior court judge, , 
918, jesic, michael, v., los angeles superior court, superior court, superior court judge
919, jensen, lance, priest, superior court orange county superior court judge, , 
920, jenkins, martin, joseph, california court of appeal associate justice, first appellate district, district - division three
921, jean, arthur, , los angeles superior court, , judge
922, jacobson, morris, d., superior court of california, county of alameda, judge
923, jacobson, jack, mark, stanislaus county superior court, sup, superior court judge
924, jacobs, nan, cohan, stanislaus county superior court judge, , 
925, jackson, teri, leatrice, superior court of california county of san francisco, supere, superior court judge
926, jackson, jacqueline, c., superior court of california county of riverside, , judge
927, jackson, frank, y, court of appeal, second appellate district, justice
928, iwasko, james, fisher, santa barbara county superior court, lompoc division, judge
929, lto, roger, tetsuo, los angeles superior court, norwalk-southeast judicial district, judge
930, ito lance a., , , superior court of california, in and for the county of los angeles, judge - term thru 2015
931, israels, valli, katrina, superior court state of california, stanislaus county, judge
932, isackson, carol, , san diego superior court, , judge superior court
933, irion, joan, kathleen, court of appeal farth district, division one, associate justice
934, ipema, tamila, e, san diego superior court, n/a, judge of the superior court
935, ing, john, h., los angeles superior court, southeast district, judge
936, ikola, raymond, john, court of appeal, fourth appellate district division three, associate justice
937, ikeda, dale, l., superior court of california county of fresno, , superior court judge
938, iglesia, efren, nasol, monterey county superior court, department 18, superior court judge
939, ichikawa, garry, t. (only initial), superior court of california, , judge
940, hymer, allan, d., superior court alameda county  judge, , 
941, hutson, cara, d, superior court of california, county of san bernadino, superior court judge
942, hurwitz, lon, f, orange county superior court, , judge
943, hurst, linda, davidson, san luis obispo superior court judge, , 
944, hurley, joseph, robert, alameda county superior court, dept 12, 
945, hunter, eleanor, j, los angeles county superior court judge, , 
946, hunter, david, e., superior court, alameda county, judge
947, hunt desek, w, , superior court judge, county of orange, 
948, humphreys, elizabeth, , superior court of california, county of san joaquin, judge of the superior court
949, humphrey, colette, marie, superior court of california, county of kern, judge
950, hull jr., harry, edmond, court of appeal, third appellate district, associate justice
951, huguenor, susan, d., san diego superior court, n/a, judge of the superior court
952, huffman, richard, dennis, court of appeal, fourth districtdivision one, associate justice
953, huber, joseph, h., santa clara county superior court, superior court judgf, 
954, hubbard, kim, , superior court - orange county superior court judge, , 
955, hoytjr., seth, russell, superior court of california, county of san joaquin, superior court judge
956, howell steven, john, , superior court of california, county of butte, judge
957, howard, theodore, r, superior court judge, orange county, 
958, house, mary, e.thornton, superior court for the county of los angeles judge, , 
959, hosking, james, justin, san bernardino superior court, joshua tree, judge
960, horner, jeffrey, w., superior court state of california county of alameda, , judge
961, horn, frederick, paul, superior court, orange county, judge
962, horn, h., chester, los angeles superior court, , judge
963, horan, james, edwand, los angeles county superiro court department 4 whittier ca, , 
964, hopp, harold, wayne, riverside county superior court, , judge
965, hood, mark, , monterey county superior court, , judicial officer
966, honeycutt, alan, b, los angeles superior court, , judge
967, hom, russell, lee, superior court of california, county of sacramento, judge of the superior court
968, hom, rose, , los angeles superior court, , judge
969, holly, carter, p, superior court of california, county of san joaquin, judge of the superior court
970, hollman, james, , tulare county superior court   judge, , 
971, hollenhorst, thomas, e., court of appeal, fourth district division two, associate justice
972, holland, lesley, daniel, superior court of california, county of san joaquin, judge
973, hogue, amy, d, los angeles superior court, 34, judge
974, hoffstadt, brian, matthew, los angeles superior court judge, , 
975, hoffer, david, andrew, orange county superior court, , superior court judge
976, hoff, gary, d., freshnocounty superior court superior court judge, , 
977, hofer ralph, ralph, c., superior court los angeles county, judge, judge
978, hockett, marshall, y, san diego superior court, n/a, judge of the superior court
979, hoch, andrea, lynn, third district court of appeal, , associate justice
980, hirsch, david, michael, superior court of the state of california, county of ventura, judge
981, hiroshige, ernest, mitsuo, la county superior court judge, , 
982, hiramoto, joni, t, contra costa county superior court, , judge
983, hinton barbara, banbana cathenine, cherine, state of california superior court judge, , 
984, hinrichs, joyce, d., superior court of california, county of humboldt, judge
985, hing, stuart, lindsay, superior court of california superior court judge, county of alameda, 
986, hillman, bret, dale, tulare county superior court, visalia division department 8, judge
987, hill, elizabeth, michelle, superior court of california county of san mateo, , judge
988, hill, deirdre, h, los angeles superior court, , judge
